Accessory,Background,Clothes,Eyes,Fur,Headwear,Mouth,_id,description,edition,image,name
None,Purple,Orange Gi,Classic,Orange,Bat,Normal,61aa7e125f3a3742af4c48dd,SHIBOSHIS - Official Collection,11,https://shiboshis.mypinata.cloud/ipfs/QmRRPfNq1ideHhfW1YiwqimGka5JiYrtbCEYCvJhWuZHWU,#10
None,Purple,Tux Shirt,Classic,Orange,Steel,Normal,61aa7e125f3a3742af4c48de,SHIBOSHIS - Official Collection,12,https://shiboshis.mypinata.cloud/ipfs/Qmbrybffd8qyuLwGSp8Lti8UW5AkcmQqXL74TNi31UcXp2,#11
None,Red,Clown,Classic,Orange,Bat,Normal,61aa7e125f3a3742af4c48df,SHIBOSHIS - Official Collection,13,https://shiboshis.mypinata.cloud/ipfs/QmYMwXfojNcGHbYvS9GxW1qT3wd9TFvx8dU5GE6zVZK6YF,#12
None,Space,None,Classic,Orange,Bat,Normal,61aa7e125f3a3742af4c48e0,SHIBOSHIS - Official Collection,14,https://shiboshis.mypinata.cloud/ipfs/QmZ9sSXNooTpqmMiXzLbripeGcASafwJXaWJp5RwPRPuBP,#13
None,Blue,Rocker Vest,Classic,Orange,Bat,Normal,61aa7e125f3a3742af4c48e1,SHIBOSHIS - Official Collection,15,https://shiboshis.mypinata.cloud/ipfs/QmUK69Aa33jhQqQs1NvXpYS3aVyergCYt3VqP6MxrTNYzS,#14
None,Snowy Mountains,Business Suit,Classic,Orange,Steel,Normal,61aa7e125f3a3742af4c48e2,SHIBOSHIS - Official Collection,16,https://shiboshis.mypinata.cloud/ipfs/QmRpfm7q6Lhjd6Qjs8U3zALxGcnkj3d6iVAZPZBZbZGUnp,#15
None,Beach,Army,Classic,Orange,Bat,Normal,61aa7e125f3a3742af4c48e3,SHIBOSHIS - Official Collection,17,https://shiboshis.mypinata.cloud/ipfs/QmWjK7TGXWyp5LnNuZZSgtdJxqc6VDKQjWzKPp1D2myu12,#16
None,Space,Sailor,Classic,Orange,Bat,Normal,61aa7e125f3a3742af4c48e4,SHIBOSHIS - Official Collection,18,https://shiboshis.mypinata.cloud/ipfs/QmcHcN4cXw8imw4wm755LTUDT1BDwTEt6QA9u1GK4J9qh7,#17
None,Lightning,Ryoshi,Classic,Orange,Bat,Normal,61aa7e125f3a3742af4c48e5,SHIBOSHIS - Official Collection,19,https://shiboshis.mypinata.cloud/ipfs/QmR5GVMzpuFA5wsAqxLQkEnib3jaERjZMAzUAM5mLMrHdJ,#18
None,Rainbow,Poncho,Classic,Orange,Bat,Normal,61aa7e125f3a3742af4c48e6,SHIBOSHIS - Official Collection,20,https://shiboshis.mypinata.cloud/ipfs/QmYMi2uKGVibCHC8v4QNUX2h2ZPqy5Pjre6FxRjJnpXzaR,#19
None,Yellow,Wizard Robe,Classic,Orange,Bat,Normal,61aa7e125f3a3742af4c48e7,SHIBOSHIS - Official Collection,21,https://shiboshis.mypinata.cloud/ipfs/QmNM3VA7155FV13w8GiYzBxf1AhfgQhZeHRshidyyT9fZZ,#20
None,Beach,Overalls,Classic,Orange,Steel,Normal,61aa7e125f3a3742af4c48e8,SHIBOSHIS - Official Collection,22,https://shiboshis.mypinata.cloud/ipfs/QmXSV3QgcpupG8KR4oSiqPnR351zZu234DrwkgS8QgXKUH,#21
None,Snowy Mountains,Clown,Classic,Orange,Steel,Normal,61aa7e125f3a3742af4c48e9,SHIBOSHIS - Official Collection,23,https://shiboshis.mypinata.cloud/ipfs/QmbQFiY29pPBzdWUEvS8xgPLUPsEqteRUD8baCHrch8fT5,#22
None,Rainbow,Steel,Classic,Orange,Bat,Normal,61aa7e125f3a3742af4c48ea,SHIBOSHIS - Official Collection,24,https://shiboshis.mypinata.cloud/ipfs/QmW4FG1QrdUmoCaFVjYpisKFBxBgQNScTCQtdfTjEJRQU2,#23
None,Blue,Scarf,Classic,Orange,Bat,Normal,61aa7e125f3a3742af4c48eb,SHIBOSHIS - Official Collection,25,https://shiboshis.mypinata.cloud/ipfs/QmRQzRW8c559BrhYgVKNCcXmguPXAbouUCPWu6QkDvf5J4,#24
None,Pyramids,Peace Tank,Classic,Orange,Steel,Normal,61aa7e125f3a3742af4c48ec,SHIBOSHIS - Official Collection,26,https://shiboshis.mypinata.cloud/ipfs/QmdroQhUfpok2KsngGqSerpQ4Pcya6vD8R6G8rKAxSdrse,ShibTony Starkoshi
None,Rainbow,Astro,Classic,Orange,Steel,Normal,61aa7e125f3a3742af4c48ed,SHIBOSHIS - Official Collection,27,https://shiboshis.mypinata.cloud/ipfs/QmUS8YGgeJekcvRjJs34NDPkw3TbJ4UknV2BU1xPcqbcdu,#26
None,Purple,Cowboy,Classic,Orange,Steel,Normal,61aa7e125f3a3742af4c48ee,SHIBOSHIS - Official Collection,28,https://shiboshis.mypinata.cloud/ipfs/QmQuePuJWRjscBLPQGnK9E1GCoHMcAwKE3YKrfdGgV5mVo,#27
None,Blue,Overalls,Classic,Orange,Bat,Normal,61aa7e125f3a3742af4c48ef,SHIBOSHIS - Official Collection,29,https://shiboshis.mypinata.cloud/ipfs/QmWHvfUBsEHkD7WTyFs6Z1CtcexEzjNFdW1pbV53XW6sAB,BruceWayne
None,Green,Tux Shirt,Classic,Orange,Bat,Normal,61aa7e125f3a3742af4c48f0,SHIBOSHIS - Official Collection,30,https://shiboshis.mypinata.cloud/ipfs/QmRqm7h8iGaiq7kqRqhaPNEBXvp6D34ZZM2e1jCKwSaHDU,#29
None,Yellow,Peace Tank,Classic,Orange,Bat,Normal,61aa7e125f3a3742af4c48f1,SHIBOSHIS - Official Collection,31,https://shiboshis.mypinata.cloud/ipfs/QmUWNjmG65uGcjC42FWwoNLphfU7J4SK2ARoRpipUrK8i6,#30
None,Red,Business Suit,Classic,Orange,Bat,Normal,61aa7e125f3a3742af4c48f2,SHIBOSHIS - Official Collection,32,https://shiboshis.mypinata.cloud/ipfs/QmcJQdeogQTAP2nnzsSLu2mz5MSHoi5rFUAUTBLPdu2MCn,#31
None,Green,Bat,Classic,Orange,Steel,Normal,61aa7e125f3a3742af4c48f3,SHIBOSHIS - Official Collection,33,https://shiboshis.mypinata.cloud/ipfs/QmWG4SXMKXgGzR8jxNzzeY91ugEerMvrm5m7xfy8whVkti,IRONBAT
None,Orange,No FUD,Classic,Orange,Bat,Normal,61aa7e125f3a3742af4c48f4,SHIBOSHIS - Official Collection,34,https://shiboshis.mypinata.cloud/ipfs/Qmd6rZbWPeDzjtjSeYTLRyjx4nTDa2QNeq41Aork6esFB4,Anti FUD Man
None,Beach,Sailor,Classic,Orange,Steel,Normal,61aa7e125f3a3742af4c48f5,SHIBOSHIS - Official Collection,35,https://shiboshis.mypinata.cloud/ipfs/QmYfi2fWWVkumzTLfvU5hmMDcNbipLuzVNjzN8eboHDAQY,#34
None,Yellow,Wizard Robe,Classic,Orange,Steel,Normal,61aa7e125f3a3742af4c48f6,SHIBOSHIS - Official Collection,36,https://shiboshis.mypinata.cloud/ipfs/QmYoHV62aStaPVwWxK1qiNUFTLj6cXGdpc13v98fQJQPnb,#35
None,Green,DEV,Classic,Orange,Steel,Normal,61aa7e125f3a3742af4c48f7,SHIBOSHIS - Official Collection,37,https://shiboshis.mypinata.cloud/ipfs/QmYAFXyapBELDHE95YiehxpjUFYmjJySe2PvPoyNUKP1cM,Shib Man
None,Beach,Ryoshi,Classic,Orange,Steel,Normal,61aa7e125f3a3742af4c48f8,SHIBOSHIS - Official Collection,38,https://shiboshis.mypinata.cloud/ipfs/QmTABKVwt4dN8JB5nMi7JMN6JyZxPuEGDwCVuYRj4Cv8J4,Ironoshi
None,Blue,Cowboy,Classic,Orange,Bat,Normal,61aa7e125f3a3742af4c48f9,SHIBOSHIS - Official Collection,39,https://shiboshis.mypinata.cloud/ipfs/QmdJYTAP6EajpYzbyuXMS3S3VpJY6Kk8KBpnuWj66YxVdG,#38
None,Lightning,Steel,Classic,Orange,Steel,Normal,61aa7e125f3a3742af4c48fa,SHIBOSHIS - Official Collection,40,https://shiboshis.mypinata.cloud/ipfs/QmYtwTSWztRTh66DouW6H859QAVYfJhF7cd6uBfUHLS8GN,IRON SHIB
None,Purple,Orange Gi,Laser Visor,Brown,Cowboy Hat,Smirk,61aa7e125f3a3742af4c48fb,SHIBOSHIS - Official Collection,41,https://shiboshis.mypinata.cloud/ipfs/QmQfjY6KarrKMdjMdYc8n2uY6LjDm9XLR2Myecjf7KukZu,#40
None,Lightning,Business Suit,VR,Black,Clown,Cigarette,61aa7e125f3a3742af4c48fc,SHIBOSHIS - Official Collection,42,https://shiboshis.mypinata.cloud/ipfs/QmRUz85cLmLMb44Qyrk5oEguWyJk5SLfsLhAVUdc6HgVsd,#41
None,Yellow,Rocker Vest,Laser Visor,Brown,Cowboy Hat,Smirk,61aa7e125f3a3742af4c48fd,SHIBOSHIS - Official Collection,43,https://shiboshis.mypinata.cloud/ipfs/QmPU1WPyLAjk5ox6JQ2BJFm4AvSU8Y8Sxmj8nTmksgAqTb,INDIANA JONES
None,Blue,Doctor,Laser Visor,Orange,Halo,Growl,61aa7e125f3a3742af4c48fe,SHIBOSHIS - Official Collection,44,https://shiboshis.mypinata.cloud/ipfs/QmVF5RxwRRPYDym2XPrKpmwvDd7z6HW5Yenoc4Jbp8sLN2,#43
None,Orange,Astro,Laser Visor,Orange,None,Herb,61aa7e125f3a3742af4c48ff,SHIBOSHIS - Official Collection,45,https://shiboshis.mypinata.cloud/ipfs/QmeKck5DQCcbnndcWikXxvd1BDfm63NTF9rW37Wp6uzT4P,SKYWALKER
None,Yellow,Wizard Robe,VR,Orange,Blonde Hair,Pizza,61aa7e125f3a3742af4c4900,SHIBOSHIS - Official Collection,46,https://shiboshis.mypinata.cloud/ipfs/QmRGBHHsoD4akvE1wck3HS7jJivmERH2PYPttPj5mdoBGZ,ShiboshiSaiyan
None,Snowy Mountains,Bat,VR,Black,Blue Hair,Pipe,61aa7e125f3a3742af4c4901,SHIBOSHIS - Official Collection,47,https://shiboshis.mypinata.cloud/ipfs/QmbeduSC6euGG7LSN4R2u2Frmp1AZfHMTgCpsT8bN6bC28,#46
None,Purple,Doctor,Laser Visor,Brown,Mohawk,Tongue Out,61aa7e125f3a3742af4c4902,SHIBOSHIS - Official Collection,48,https://shiboshis.mypinata.cloud/ipfs/QmQWnCpqUfCQthLwum1oNVRsc5qtYhkXQSvjECE2T9QgwZ,#47
None,Green,Overalls,Laser Visor,Orange,Mohawk,Herb,61aa7e125f3a3742af4c4903,SHIBOSHIS - Official Collection,49,https://shiboshis.mypinata.cloud/ipfs/QmXYHzMGhneHkNdvFzkKniJxaqVkgRSyzfSU8wvsDEYEbC,#48
None,Lightning,Peace Tank,VR,Orange,Clown,Tongue Out,61aa7e125f3a3742af4c4904,SHIBOSHIS - Official Collection,50,https://shiboshis.mypinata.cloud/ipfs/QmNbcBBWPvowzBJ6FCqBKrqegm7MFsa31fcMhV3Zv3qvgU,LIONEL MESSI
None,Beach,Wizard Robe,VR,Black,None,Flames,61aa7e125f3a3742af4c4905,SHIBOSHIS - Official Collection,51,https://shiboshis.mypinata.cloud/ipfs/QmPw53YHKajMfJZ7LAHm6FpHqgauUPzDCVKRu4fF2jHfZ2,KIM KARDASHIAN
None,Orange,Clown,VR,Orange,Party Hat,Bubblegum,61aa7e125f3a3742af4c4906,SHIBOSHIS - Official Collection,52,https://shiboshis.mypinata.cloud/ipfs/QmXC5WZqjkmg9SpxZd7BFy6wWbs2mgT9YqTiGGxu1YGP6g,#51
None,Blue,No FUD,VR,Brown,Blue Hair,Party Popper,61aa7e125f3a3742af4c4907,SHIBOSHIS - Official Collection,53,https://shiboshis.mypinata.cloud/ipfs/QmeuazkvCodzHuMYPNkdRCL44FoqXnUECVgScwbuNf6E5M,#52
None,Yellow,Poncho,Laser Visor,Orange,Party Hat,Tongue Out,61aa7e125f3a3742af4c4908,SHIBOSHIS - Official Collection,54,https://shiboshis.mypinata.cloud/ipfs/QmVuQTLXxhzozvsUHdvyQXkZsGQtQ3S4zJcPrJML6eZW3w,#53
None,Red,Jersey,VR,Orange,Cowboy Hat,Smirk,61aa7e125f3a3742af4c4909,SHIBOSHIS - Official Collection,55,https://shiboshis.mypinata.cloud/ipfs/QmaeJYbT5JmRQoP41GSPUqMiqa44Y6Gh9tHePwFWVkSwZQ,DonShiboshi
None,Snowy Mountains,None,VR,Orange,None,Party Popper,61aa7e125f3a3742af4c490a,SHIBOSHIS - Official Collection,56,https://shiboshis.mypinata.cloud/ipfs/QmZb2HMZ8cKByMnkojVXsrRtF5FUHuDMC5ysWzdhbKowVc,#55
None,Snowy Mountains,No FUD,Laser Visor,Orange,None,Whistle,61aa7e125f3a3742af4c490b,SHIBOSHIS - Official Collection,57,https://shiboshis.mypinata.cloud/ipfs/QmQYvuLBv6v4g46hoyJvwtTLHopeorRwnjs3TpYUV7VfXJ,#56
None,Yellow,Tux Shirt,VR,Orange,Cyborg,Smirk,61aa7e125f3a3742af4c490c,SHIBOSHIS - Official Collection,58,https://shiboshis.mypinata.cloud/ipfs/QmVP9s2xYtqZaiykWScRNUzg4szpbsB2nd8snJCstL27wT,#57
None,Blue,Peace Tank,VR,Brown,None,Whistle,61aa7e125f3a3742af4c490d,SHIBOSHIS - Official Collection,59,https://shiboshis.mypinata.cloud/ipfs/QmP8J5y34tEzC4CArZMM7DwVVP45JBnjWu9fg4jbdGnbxp,#58
None,Pyramids,Bat,Laser Visor,Brown,Mohawk,Tongue Out,61aa7e125f3a3742af4c490e,SHIBOSHIS - Official Collection,60,https://shiboshis.mypinata.cloud/ipfs/QmYiMFKLpMdqt8GKHjtqKcpBe1nWuD2qi3neQmK1qdurmq,#59
None,Orange Fade,Cowboy,VR,Brown,Clown,Whistle,61aa7e125f3a3742af4c490f,SHIBOSHIS - Official Collection,61,https://shiboshis.mypinata.cloud/ipfs/QmQzQc3sYnEwPaoYcRB7ERaZ3MWXS9kUUCk3SyMw3wnuU1,#60
None,Orange Fade,Jersey,VR,Orange,Cyborg,Whistle,61aa7e125f3a3742af4c4910,SHIBOSHIS - Official Collection,62,https://shiboshis.mypinata.cloud/ipfs/QmPzaq1NXKyaqrT46tt9CpL4nDRDvHA51ssSVXjRkk3ZhY,#61
None,Rainbow,Astro,VR,Brown,Cowboy Hat,Bubblegum,61aa7e125f3a3742af4c4911,SHIBOSHIS - Official Collection,63,https://shiboshis.mypinata.cloud/ipfs/QmeaxEk1ykoSdKLqmHm1PVLpswAsGaSkPY8Q1pLCBdkwNe,#62
None,Rainbow,None,Laser Visor,Orange,None,Normal,61aa7e125f3a3742af4c4912,SHIBOSHIS - Official Collection,64,https://shiboshis.mypinata.cloud/ipfs/QmVXMG8GCcgPgeZAnBS5E4XTcaMqLnxPhwW4GsCjKz3KqN,ULTRA RARE
None,Green,Blue Armor,VR,Orange,Blue Hair,Herb,61aa7e125f3a3742af4c4913,SHIBOSHIS - Official Collection,65,https://shiboshis.mypinata.cloud/ipfs/QmQmpyBpfyEUrzSnXgqc8YLmmgAzgFpJX4hDz3M3xUnzeK,#64
None,Beach,Cowboy,Laser Visor,Orange,None,Herb,61aa7e125f3a3742af4c4914,SHIBOSHIS - Official Collection,66,https://shiboshis.mypinata.cloud/ipfs/QmeytNfziY8B9oyco596Vwbh24LtH7af8V8AjoorjHRSjL,#65
None,Orange,None,VR,Black,Halo,Growl,61aa7e125f3a3742af4c4915,SHIBOSHIS - Official Collection,67,https://shiboshis.mypinata.cloud/ipfs/QmPKJxYUFfrxdQspUUZn1Xn4m61ju3jBJd9XgiSau5RhqG,#66
None,Red,Scarf,Laser Visor,Orange,Blue Hair,Pizza,61aa7e125f3a3742af4c4916,SHIBOSHIS - Official Collection,68,https://shiboshis.mypinata.cloud/ipfs/QmZq9SESax1mf3JGqkcVB3wQrdrSqipyEAGDqksercwt5w,#67
None,Pyramids,Bat,Laser Visor,Brown,Blue Hair,Herb,61aa7e125f3a3742af4c4917,SHIBOSHIS - Official Collection,69,https://shiboshis.mypinata.cloud/ipfs/QmUBSMLhejxfBWr1dW5aQoFHDvbB6tEAyEU7veQcuQhifp,Cyclops
None,Yellow,Orange Gi,VR,Orange,Clown,Pizza,61aa7e125f3a3742af4c4918,SHIBOSHIS - Official Collection,70,https://shiboshis.mypinata.cloud/ipfs/QmVpUixejRby8Xa9fBJyRmSG7WG8qVJd9MujcJujSZCchj,#69
None,Red,Poncho,VR,Orange,Cowboy Hat,Pizza,61aa7e125f3a3742af4c4919,SHIBOSHIS - Official Collection,71,https://shiboshis.mypinata.cloud/ipfs/QmYE5fYQpNmC9hL13mVkMSNpKtjShCpDNTCj7PsFZ1d52E,#70
None,Beach,No FUD,VR,Brown,Halo,Smirk,61aa7e125f3a3742af4c491a,SHIBOSHIS - Official Collection,72,https://shiboshis.mypinata.cloud/ipfs/QmTwoyxNqiZ3Y8PaBJNfyfh6nxhCB7CY4935pAosmNAehE,FLOKl
None,Red,None,Laser Visor,Orange,None,Bone,61aa7e125f3a3742af4c491b,SHIBOSHIS - Official Collection,73,https://shiboshis.mypinata.cloud/ipfs/QmQCUDdae6KaQoJbThA5DcCMb8mrK5T2AGXuKuRYiQ7BHQ,SUPER RARE
None,Red,Orange Gi,VR,Orange,Blonde Hair,Bone,61aa7e125f3a3742af4c491c,SHIBOSHIS - Official Collection,74,https://shiboshis.mypinata.cloud/ipfs/QmRXtkE932xz5XZQLhrcQuEcf8rDJFHFw1reTBBr4LefH2,#73
None,Red,Sailor,Laser Visor,Orange,Blue Hair,Smirk,61aa7e125f3a3742af4c491d,SHIBOSHIS - Official Collection,75,https://shiboshis.mypinata.cloud/ipfs/QmShgtX9ATeaLTSnz12UxDTaBkFgXzGae7FwcvzAL61XCh,#74
None,Yellow,None,VR,Orange,Mohawk,Tongue Out,61aa7e125f3a3742af4c491e,SHIBOSHIS - Official Collection,76,https://shiboshis.mypinata.cloud/ipfs/QmNu8pMUrEgnKXGY6X2HXHrFicsBJDcavi6Tvt7k4cDvUp,#75
None,Lightning,DEV,VR,Black,Blue Hair,Normal,61aa7e125f3a3742af4c491f,SHIBOSHIS - Official Collection,77,https://shiboshis.mypinata.cloud/ipfs/QmWs4ypS7YpPGGQjVEeqa9Hp5Q6G25pPh2Vua27S9uD9wE,#76
None,Rainbow,Bat,VR,Brown,Halo,Party Popper,61aa7e125f3a3742af4c4920,SHIBOSHIS - Official Collection,78,https://shiboshis.mypinata.cloud/ipfs/QmdZXciun48zBVh91dHtrZ9kVHeJ7kT2DoWPwras2NiNFf,#77
None,Space,Tux Shirt,VR,Brown,None,Pizza,61aa7e125f3a3742af4c4921,SHIBOSHIS - Official Collection,79,https://shiboshis.mypinata.cloud/ipfs/QmdNogqKCis7fGVJc3QxKAN3LaHXofMp1hyq8bHeJF8wx4,Pupperoni
None,Lightning,Peace Tank,Laser Visor,Orange,Cowboy Hat,Normal,61aa7e125f3a3742af4c4922,SHIBOSHIS - Official Collection,80,https://shiboshis.mypinata.cloud/ipfs/QmWR32WfGyHhtw1ETD2RKD6tXVmk4U4f3a94VGrQjVh4ou,#79
None,Snowy Mountains,Wizard Robe,Laser Visor,Orange,Mohawk,Bubblegum,61aa7e125f3a3742af4c4923,SHIBOSHIS - Official Collection,81,https://shiboshis.mypinata.cloud/ipfs/QmQrhsw2yzHpqXqCE3HRcdqgZxKXUE2h66QYDxknGTfMZ6,#80
None,Orange,Scarf,Laser Visor,Black,Party Hat,Bone,61aa7e125f3a3742af4c4924,SHIBOSHIS - Official Collection,82,https://shiboshis.mypinata.cloud/ipfs/Qmb2GoTf1KUiR9jF7jSNCQgfJjxueYe4nbsdBNcsGByQj3,#81
None,Purple,Peace Tank,Laser Visor,Orange,Blue Hair,Cigarette,61aa7e125f3a3742af4c4925,SHIBOSHIS - Official Collection,83,https://shiboshis.mypinata.cloud/ipfs/QmSkgM6Zb7QJkuPhBFEnjVLcwWUeHZKMJabaue8TEhSGCM,#82
None,Lightning,None,Laser Visor,Brown,Clown,Bubblegum,61aa7e125f3a3742af4c4926,SHIBOSHIS - Official Collection,84,https://shiboshis.mypinata.cloud/ipfs/QmepamAm2MFqEVk3TJEY2fnpUpstuMAmbEAkqobCRbrsbN,#83
None,Blue,Army,Laser Visor,Black,None,Party Popper,61aa7e125f3a3742af4c4927,SHIBOSHIS - Official Collection,85,https://shiboshis.mypinata.cloud/ipfs/QmZ88WNsvTPNHj1fCDGiQaBgn2BYBZAuVfe7MrFDJfi9pz,#84
None,Orange,Blue Armor,Laser Visor,Orange,None,Party Popper,61aa7e125f3a3742af4c4928,SHIBOSHIS - Official Collection,86,https://shiboshis.mypinata.cloud/ipfs/QmYLENsRcQ65i5nN1bwMgp9NGLbnFfmc9ueoJ5nXdpiQQr,#85
None,Orange Fade,Bat,Laser Visor,Brown,Clown,Normal,61aa7e125f3a3742af4c4929,SHIBOSHIS - Official Collection,87,https://shiboshis.mypinata.cloud/ipfs/QmbZF7YQAvfQLt96Va6ThLKUwzJp3WUPRgQLgqWMps2y84,#86
None,Orange,Wizard Robe,Laser Visor,Black,Clown,Cigarette,61aa7e125f3a3742af4c492a,SHIBOSHIS - Official Collection,88,https://shiboshis.mypinata.cloud/ipfs/QmY75ud29sjideC4dYsiPF1jb3uh5dz4m9DWNa1d9yvxJY,#87
None,Red,Clown,VR,Orange,Cyborg,Growl,61aa7e125f3a3742af4c492b,SHIBOSHIS - Official Collection,89,https://shiboshis.mypinata.cloud/ipfs/QmZcVfPYH3nGQAm6uod3FvfHXSf9rC7VmZLAzLmKB4EaE9,#88
None,Red,Poncho,VR,Brown,Party Hat,Normal,61aa7e125f3a3742af4c492c,SHIBOSHIS - Official Collection,90,https://shiboshis.mypinata.cloud/ipfs/QmRinpGQfji8YCsqjo1Xe6t5cevnWej9s3Hthb8ab7u5ii,#89
None,Yellow,DEV,Laser Visor,Orange,Mohawk,Normal,61aa7e125f3a3742af4c492d,SHIBOSHIS - Official Collection,91,https://shiboshis.mypinata.cloud/ipfs/QmbdSBwMffgwKJNJkjxjFb8MeSwPBBB4c9azrTEeDJTCy6,#90
None,Orange Fade,Scarf,Laser Visor,Brown,Halo,Whistle,61aa7e125f3a3742af4c492e,SHIBOSHIS - Official Collection,92,https://shiboshis.mypinata.cloud/ipfs/QmSJ4qZ21EA8CyquPd96yvnHiwjxhgZC9qfZVZnuJ5ayBa,#91
None,Blue,Sailor,Laser Visor,Black,Party Hat,Cigarette,61aa7e125f3a3742af4c492f,SHIBOSHIS - Official Collection,93,https://shiboshis.mypinata.cloud/ipfs/QmRhKSgJkzB7hPgMwbWFdj9KtYkDiQcJuVxUiu95SGWTei,#92
None,Blue,Peace Tank,VR,Brown,Cowboy Hat,Pipe,61aa7e125f3a3742af4c4930,SHIBOSHIS - Official Collection,94,https://shiboshis.mypinata.cloud/ipfs/QmWRGqaNEm1AFRX6Hx2gXepxH1WTGC3eWupjPmT8PiJFr7,The Big Shibowski
None,Purple,Rocker Vest,Laser Visor,Brown,Cyborg,Party Popper,61aa7e125f3a3742af4c4931,SHIBOSHIS - Official Collection,95,https://shiboshis.mypinata.cloud/ipfs/QmVg5h5Hzz49xPw55RhD9VkFkkog6Q1F5ydhcpkW1hBBTB,Shiborg
None,Space,Poncho,Laser Visor,Orange,None,Flames,61aa7e125f3a3742af4c4932,SHIBOSHIS - Official Collection,96,https://shiboshis.mypinata.cloud/ipfs/QmQW4JkqH6wxkZZiTWdkh3innD5WeQgN3sD4ULJLSqh7NA,Swaggy
None,Orange,Orange Gi,Laser Visor,Brown,Party Hat,Bubblegum,61aa7e125f3a3742af4c4933,SHIBOSHIS - Official Collection,97,https://shiboshis.mypinata.cloud/ipfs/QmRdimZ1iatgbQZ3PwnFGx1hKBdqaC2mAA9GnqLxcGsQF7,#96
None,Yellow,Blue Armor,Laser Visor,Orange,Clown,Smirk,61aa7e125f3a3742af4c4934,SHIBOSHIS - Official Collection,98,https://shiboshis.mypinata.cloud/ipfs/QmQGLuDfeSF2znpcCTRdzjYZzn4LGnpQFh7guEsPEh2Fpf,#97
None,Lightning,Sailor,Laser Visor,Orange,Party Hat,Party Popper,61aa7e125f3a3742af4c4935,SHIBOSHIS - Official Collection,99,https://shiboshis.mypinata.cloud/ipfs/QmdBqCXi96PU14xJj4rQKFQ7jxxPEn5wjH3NG4aVGb9fpZ,#98
None,Blue,Rocker Vest,Laser Visor,Orange,Cowboy Hat,Whistle,61aa7e125f3a3742af4c4936,SHIBOSHIS - Official Collection,100,https://shiboshis.mypinata.cloud/ipfs/QmT88PmbDCFC6yd1ZWQyQxKw4nDB2A46WECt564ZmcGsS9,Shiboss
None,Snowy Mountains,No FUD,Laser Visor,Orange,Cowboy Hat,Flames,61aa7e125f3a3742af4c4937,SHIBOSHIS - Official Collection,101,https://shiboshis.mypinata.cloud/ipfs/QmQnHkkQnBb6AeZ5mgzYuZpcT5a7cPqyYa8DrrTsrsyG1m,#100
